,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
163,2005-06,Regular Season,1610612761,TOR,Toronto Raptors,20501225,2006-04-19T00:00:00,TOR @ CHI,L,240.00000000000003,33,94,0.35106382978723405,9,21,0.42857142857142855,31,35,0.8857142857142857,13,27,40,15,9,8,2,2,26,28,106,-105,1,0,94.62979196489832
164,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600007,2006-11-01T00:00:00,TOR @ NJN,L,240.0,37,94,0.39361702127659576,4,20,0.2,14,20,0.7,7,31,38,21,15,8,5,5,27,26,92,-50,0,0,96.58314235308922
165,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600018,2006-11-03T00:00:00,TOR vs. MIL,W,240.0,47,88,0.5340909090909091,9,21,0.42857142857142855,6,10,0.6,13,31,44,27,15,7,8,3,15,20,109,85,2,0,175.4709533093673
166,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600040,2006-11-05T00:00:00,TOR vs. SAS,L,240.00000000000006,32,76,0.42105263157894735,5,13,0.38461538461538464,25,30,0.8333333333333334,10,29,39,11,14,8,1,2,20,22,94,-45,1,0,149.71596180783214
167,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600058,2006-11-08T00:00:00,TOR vs. PHI,W,239.99999999999997,38,93,0.40860215053763443,7,19,0.3684210526315789,23,29,0.7931034482758621,15,30,45,19,10,8,5,12,21,23,106,10,1,0,146.11311445003219
168,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600072,2006-11-10T00:00:00,TOR vs. ATL,L,240.0,41,88,0.4659090909090909,9,19,0.47368421052631576,11,16,0.6875,10,30,40,27,15,4,4,6,25,20,102,-45,2,0,107.77984949601297
169,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600094,2006-11-12T00:00:00,TOR @ SAC,L,240.00000000000003,35,84,0.4166666666666667,6,24,0.25,16,19,0.8421052631578947,10,25,35,20,18,6,4,1,23,18,92,-75,0,0,95.6414749874553
170,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600107,2006-11-14T00:00:00,TOR @ GSW,L,240.0,34,85,0.4,7,29,0.2413793103448276,24,28,0.8571428571428571,16,37,53,19,19,6,3,5,23,25,99,-55,1,0,106.80655131511308
171,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600127,2006-11-17T00:00:00,TOR @ LAL,L,240.0,38,83,0.4578313253012048,3,19,0.15789473684210525,21,28,0.75,9,27,36,26,13,10,3,2,28,19,100,-35,1,0,112.49921251771178
172,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600138,2006-11-18T00:00:00,TOR @ DEN,L,240.0,42,91,0.46153846153846156,6,24,0.25,19,27,0.7037037037037037,10,27,37,32,8,11,3,4,23,24,109,-40,2,0,152.18752133604173
