,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
13,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900207,2019-11-20T00:00:00,TOR vs. ORL,239.99999998599998,45.0,87.0,0.5172413793103449,9.0,27.0,0.3333333333333333,14.0,19.0,0.7368421052631579,10.0,37.0,47.0,26.0,11.0,5.0,5.0,8.0,21.0,16.0,113.0,16.0,2,0,238.98619311199997
14,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900228,2019-11-23T00:00:00,TOR @ ATL,240.0,40.0,88.0,0.45454545454545453,13.0,37.0,0.35135135135135137,26.0,30.0,0.8666666666666667,12.0,30.0,42.0,22.0,15.0,5.0,5.0,7.0,16.0,27.0,119.0,3.0,0,0,160.236031484
15,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900246,2019-11-25T00:00:00,TOR vs. PHI,240.00000001,38.0,84.0,0.4523809523809524,11.0,34.0,0.3235294117647059,14.0,22.0,0.6363636363636364,8.0,32.0,40.0,27.0,10.0,5.0,5.0,3.0,18.0,20.0,101.0,5.0,1,0,116.11012033799999
16,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900258,2019-11-27T00:00:00,TOR vs. NYK,257.0281250036667,48.125,99.5,0.4836683417085427,22.875,43.625,0.5243553008595988,13.75,17.875,0.7692307692307693,17.5,37.375,54.875,27.0,13.375,7.0,4.25,4.375,18.5,18.125,132.875,29.825,2,0,237.7725542941837
17,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900269,2019-11-29T00:00:00,TOR @ ORL,239.99999999999997,31.0,84.0,0.36904761904761907,11.0,38.0,0.2894736842105263,17.0,28.0,0.6071428571428571,11.0,35.0,46.0,21.0,13.0,16.0,4.0,11.0,20.0,19.0,90.0,7.0,1,0,103.891501243
18,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900291,2019-12-01T00:00:00,TOR vs. UTA,261.21145833366666,51.125,97.5,0.5243589743589744,20.875,39.625,0.526813880126183,17.75,21.875,0.8114285714285714,7.5,39.375,46.875,39.0,15.375,15.0,7.25,3.375,26.5,18.125,140.875,22.625,1,0,254.38261683718366
19,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900301,2019-12-03T00:00:00,TOR vs. MIA,265.0,35.0,91.0,0.38461538461538464,11.0,43.0,0.2558139534883721,29.0,36.0,0.8055555555555556,9.0,39.0,48.0,25.0,11.0,5.0,4.0,7.0,20.0,27.0,110.0,-11.0,2,0,124.76079088
20,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900318,2019-12-05T00:00:00,TOR vs. HOU,239.999999997,38.0,88.0,0.4318181818181818,12.0,39.0,0.3076923076923077,21.0,24.0,0.875,12.0,33.0,45.0,27.0,17.0,14.0,5.0,2.0,21.0,24.0,109.0,-10.0,0,0,148.511037238
21,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900338,2019-12-08T00:00:00,TOR @ PHI,240.000000007,38.0,88.0,0.4318181818181818,11.0,33.0,0.3333333333333333,17.0,20.0,0.85,13.0,29.0,42.0,21.0,18.0,13.0,4.0,5.0,22.0,18.0,104.0,-6.0,1,0,168.22088591700003
22,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900345,2019-12-09T00:00:00,TOR @ CHI,240.00000000699998,34.0,90.0,0.37777777777777777,7.0,29.0,0.2413793103448276,18.0,26.0,0.6923076923076923,14.0,40.0,54.0,19.0,15.0,8.0,9.0,4.0,12.0,20.0,93.0,1.0,1,0,115.955465336
