,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER,TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,SEASON_YEAR,Game_Type
18,21900291,2019-12-01T00:00:00,TOR vs. UTA,W,240.0,47,90,0.5222222222222223,19,36,0.5277777777777778,17,21,0.8095238095238095,7,36,43,36,14,14,8,3,24,17,130,100,1,0,235.70117368,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
19,21900301,2019-12-03T00:00:00,TOR vs. MIA,L,265.0,35,91,0.38461538461538464,11,43,0.2558139534883721,29,36,0.8055555555555556,9,39,48,25,11,5,4,7,20,27,110,-55,2,0,124.76079088,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
20,21900318,2019-12-05T00:00:00,TOR vs. HOU,L,239.999999997,38,88,0.4318181818181818,12,39,0.3076923076923077,21,24,0.875,12,33,45,27,17,14,5,2,21,24,109,-50,0,0,148.511037238,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
21,21900338,2019-12-08T00:00:00,TOR @ PHI,L,240.000000007,38,88,0.4318181818181818,11,33,0.3333333333333333,17,20,0.85,13,29,42,21,18,13,4,5,22,18,104,-30,1,0,168.22088591700003,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
22,21900345,2019-12-09T00:00:00,TOR @ CHI,W,240.00000000699998,34,90,0.37777777777777777,7,29,0.2413793103448276,18,26,0.6923076923076923,14,40,54,19,15,8,9,4,12,20,93,5,1,0,115.955465336,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
23,21900359,2019-12-11T00:00:00,TOR vs. LAC,L,240.000000013,31,88,0.3522727272727273,8,36,0.2222222222222222,22,25,0.88,15,32,47,21,18,10,8,5,24,21,92,-100,0,0,108.468697593,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
24,21900381,2019-12-14T00:00:00,TOR vs. BKN,W,239.99999999900007,38,98,0.3877551020408163,14,40,0.35,20,25,0.8,10,41,51,21,11,10,10,7,23,20,110,40,3,0,62.96014114799999,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
25,21900395,2019-12-16T00:00:00,TOR vs. CLE,W,239.99999999399998,52,89,0.5842696629213483,16,32,0.5,13,17,0.7647058823529411,6,35,41,31,7,7,2,1,19,15,133,100,1,0,208.281510967,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
26,21900408,2019-12-18T00:00:00,TOR @ DET,W,239.99999999400004,39,91,0.42857142857142855,13,35,0.37142857142857144,21,24,0.875,12,35,47,27,12,9,6,6,20,17,112,65,2,1,163.27607359,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
27,21900423,2019-12-20T00:00:00,TOR vs. WAS,W,240.0,38,78,0.48717948717948717,12,30,0.4,34,44,0.7727272727272727,6,36,42,26,17,6,3,1,25,28,122,20,1,0,151.69251394100002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
28,21900439,2019-12-22T00:00:00,TOR vs. DAL,W,240.00000000999998,37,94,0.39361702127659576,10,34,0.29411764705882354,26,31,0.8387096774193549,14,37,51,21,10,12,5,4,21,22,110,15,1,0,155.56237972600002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
29,21900446,2019-12-23T00:00:00,TOR @ IND,L,265.0,43,94,0.4574468085106383,11,40,0.275,18,24,0.75,12,38,50,30,16,6,8,8,22,22,115,-25,2,0,113.45573699600001,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
