,GAME_ID,GAME_DATE,MATCHUP,Unnamed: 0,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
0,21900001,2019-10-22T00:00:00,TOR vs. NOP,5468,264.99999999,42.0,103.0,0.4077669902912621,14.0,40.0,0.35,32.0,38.0,0.8421052631578947,16.0,41.0,57.0,23.0,16.0,7.0,3.0,9.0,24.0,34.0,130.0,40.0,1,0,129.756301211
1,21900017,2019-10-25T00:00:00,TOR @ BOS,6157,267.690783937284,42.41481481481482,90.08888888888889,0.47081072192073675,18.814814814814817,38.62962962962963,0.48705656759348037,17.233333333333334,20.918518518518518,0.8238314447592069,5.825925925925926,44.29259259259259,50.11851851851852,24.40740740740741,23.844444444444445,3.148148148148148,6.774074074074074,8.796296296296296,28.17037037037037,23.1,120.87777777777778,-24.04074074074074,0,0,116.13561026153191
2,21900031,2019-10-26T00:00:00,TOR @ CHI,8738,267.9574506142839,43.41481481481482,94.08888888888889,0.46142339789009607,16.814814814814817,45.62962962962963,0.3685064935064935,20.233333333333334,21.918518518518518,0.9231159175397095,9.825925925925926,53.29259259259259,63.11851851851852,29.40740740740741,20.844444444444445,9.148148148148149,12.774074074074074,2.7962962962962963,25.17037037037037,25.1,123.87777777777778,132.95925925925926,0,0,226.90656134953193
3,21900044,2019-10-28T00:00:00,TOR vs. ORL,6623,247.053333333,35.0,87.0,0.40229885057471265,10.0,38.0,0.2631578947368421,27.0,29.0,0.9310344827586207,9.0,50.0,59.0,19.0,18.0,7.0,8.0,6.0,22.0,20.0,107.0,50.0,1,0,131.98302693333332
4,21900060,2019-10-30T00:00:00,TOR vs. DET,7182,241.000000007,52.0,87.0,0.5977011494252874,12.0,25.0,0.48,10.0,13.0,0.7692307692307693,6.0,35.0,41.0,29.0,13.0,11.0,8.0,1.0,23.0,16.0,126.0,74.0,1,0,195.88901743333335
5,21900082,2019-11-02T00:00:00,TOR @ MIL,6355,240.00000000100002,34.0,84.0,0.40476190476190477,15.0,36.0,0.4166666666666667,22.0,25.0,0.88,7.0,35.0,42.0,24.0,13.0,5.0,6.0,7.0,22.0,22.0,105.0,-50.0,1,0,151.454644216
6,21900106,2019-11-06T00:00:00,TOR vs. SAC,6255,240.000000007,43.0,78.0,0.5512820512820513,14.0,29.0,0.4827586206896552,24.0,29.0,0.8275862068965517,2.0,35.0,37.0,28.0,14.0,10.0,4.0,7.0,20.0,23.0,124.0,20.0,1,0,190.1753469
7,21900121,2019-11-08T00:00:00,TOR @ NOP,7516,271.657450607284,47.41481481481482,106.08888888888889,0.4469347856444631,20.814814814814817,47.62962962962963,0.4370139968895801,24.233333333333334,27.918518518518518,0.8680021225789335,10.825925925925926,48.29259259259259,59.11851851851852,29.40740740740741,18.844444444444445,10.148148148148149,3.774074074074074,6.796296296296296,26.17037037037037,26.1,139.87777777777777,95.95925925925926,2,0,196.88144230753193
8,21900139,2019-11-10T00:00:00,TOR @ LAL,6195,269.74078395728395,49.41481481481482,102.08888888888889,0.4840371499056741,13.814814814814815,39.62962962962963,0.34859813084112146,18.233333333333334,25.918518518518518,0.7034867104887111,7.825925925925926,41.29259259259259,49.11851851851852,28.40740740740741,14.844444444444445,7.148148148148148,8.774074074074074,7.796296296296296,19.17037037037037,23.1,130.87777777777777,51.95925925925926,2,0,198.49953589553192
9,21900145,2019-11-11T00:00:00,TOR @ LAC,5364,240.000000003,34.0,85.0,0.4,11.0,30.0,0.36666666666666664,9.0,15.0,0.6,5.0,33.0,38.0,25.0,15.0,9.0,8.0,7.0,24.0,21.0,88.0,-50.0,1,0,104.16239136600001
10,21900160,2019-11-13T00:00:00,TOR @ POR,6032,267.72411728028396,47.41481481481482,103.08888888888889,0.45994107925558675,15.814814814814815,36.62962962962963,0.4317492416582406,19.233333333333334,20.918518518518518,0.9194405099150142,13.825925925925926,39.29259259259259,53.11851851851852,22.40740740740741,13.844444444444445,5.148148148148148,9.774074074074074,6.796296296296296,20.17037037037037,19.1,129.87777777777777,39.95925925925926,1,0,142.97386952753192
11,21900180,2019-11-16T00:00:00,TOR @ DAL,5202,239.99999999000002,37.0,89.0,0.4157303370786517,17.0,41.0,0.4146341463414634,11.0,15.0,0.7333333333333333,7.0,35.0,42.0,21.0,14.0,7.0,2.0,4.0,20.0,15.0,102.0,-40.0,0,0,129.160910194
12,21900191,2019-11-18T00:00:00,TOR vs. CHA,6810,240.000000001,50.0,97.0,0.5154639175257731,20.0,43.0,0.46511627906976744,12.0,15.0,0.8,16.0,37.0,53.0,40.0,10.0,13.0,2.0,8.0,25.0,19.0,132.0,180.0,1,0,278.421519972
13,21900207,2019-11-20T00:00:00,TOR vs. ORL,6666,239.99999998599998,45.0,87.0,0.5172413793103449,9.0,27.0,0.3333333333333333,14.0,19.0,0.7368421052631579,10.0,37.0,47.0,26.0,11.0,5.0,5.0,8.0,21.0,16.0,113.0,80.0,2,0,238.98619311199997
14,21900228,2019-11-23T00:00:00,TOR @ ATL,4905,240.0,40.0,88.0,0.45454545454545453,13.0,37.0,0.35135135135135137,26.0,30.0,0.8666666666666667,12.0,30.0,42.0,22.0,15.0,5.0,5.0,7.0,16.0,27.0,119.0,15.0,0,0,160.236031484
